9,-5,0.788692,13245.25373
9.5,-5,0.788746,13273.80991
9.5,-4.5,0.78869,13292.24625
9,-4.5,0.78767,13321.38737
10,-5,0.787781,13370.94733
8.5,-4.5,0.786245,13379.2331
10.5,-5,0.788262,13384.45324
8.5,-5,0.785089,13455.43107
10,-4.5,0.78684,13461.3795
11,-5,0.786674,13548.6637
8,-4.5,0.783497,13564.05945
8,-5,0.782555,13628.22618
10,-5.5,0.783419,13632.35931
9,-4,0.782461,13653.38802
10.5,-5.5,0.783549,13656.72188
9.5,-5.5,0.782477,13672.98972
8.5,-4,0.781559,13684.92635
10.5,-4.5,0.783484,13740.60757
11,-5.5,0.782673,13765.2343
9,-5.5,0.78044,13778.62861
9.5,-4,0.780858,13796.83291
8,-4,0.779237,13854.41054
8,-5.5,0.778538,13891.47331
8.5,-5.5,0.777603,13945.15287
7.5,-5,0.777192,13992.06403
7.5,-4.5,0.776982,14021.12411
10,-6,0.776456,14068.06853
10,-4,0.777268,14077.65361
11,-4.5,0.779244,14093.40091
9.5,-6,0.775561,14116.34206
10.5,-6,0.775783,14129.27384
7.5,-5.5,0.775079,14134.08385
8,-6,0.774683,14146.99085
9,-6,0.773898,14203.90134
11,-6,0.774716,14236.29723
8.5,-6,0.772805,14269.95931
10.5,-4,0.773869,14347.28848
9.5,-6.5,0.771112,14391.45554
10,-6.5,0.771334,14395.92548
9,-3.5,0.770301,14416.71829
10.5,-6.5,0.771324,14421.49157
11,-6.5,0.771377,14431.56726
8.5,-3.5,0.770006,14433.79103
7.5,-6,0.770344,14442.14186
7.5,-4,0.771082,14456.30936
8,-6.5,0.769825,14457.49991
7,-5,0.770577,14471.85633
9,-6.5,0.769323,14499.13938
9.5,-3.5,0.768905,14524.96539
7,-5.5,0.76949,14532.82672
11,-7.5,0.769042,14541.73508
11,-7,0.769211,14546.56159
10.5,-7,0.768575,14563.39282
10,-7,0.768369,14569.91375
8.5,-6.5,0.767799,14592.2891
9.5,-7,0.767792,14606.45035
10.5,-7.5,0.767804,14610.89324
7,-4.5,0.768684,14642.08643
11,-4,0.769608,14685.32354
10,-3.5,0.766678,14685.94342
7.5,-6.5,0.766304,14691.98841
10,-7.5,0.766059,14719.7205
9,-7,0.766045,14724.03963
7,-6,0.765763,14758.87777
11,-8,0.765065,14787.82371
8,-7,0.764577,14799.37601
8,-3.5,0.765407,14811.42492
9.5,-7.5,0.764501,14823.03627
10.5,-8,0.763816,14874.55052
8.5,-7,0.763076,14909.79905
